Date,AAPL,MSFT,AMZN,NFLX,META,GOOG,NVDA,AMD
2016-03-16,24.0459,47.9655,28.7135,99.35,111.4927,36.5543,0.8104,2.63
2016-03-17,24.0073,48.2391,27.972,99.72,110.3398,36.6383,0.8036,2.8
2016-03-18,24.0345,47.2065,27.604,101.12,110.7672,36.6293,0.8278,2.93
2016-03-21,24.0323,47.533,27.699,101.06,111.1647,36.8523,0.8303,2.8
2016-03-22,24.2161,47.7184,28.024,99.84,111.5623,36.7858,0.8288,2.79
2016-03-23,24.0822,47.6301,28.4815,99.59,111.8505,36.6522,0.843,2.68
2016-03-24,23.9778,47.8419,29.1475,98.36,112.3574,36.5151,0.8442,2.79
2016-03-28,23.8689,47.2506,28.9935,101.21,112.9934,36.4272,0.8528,2.78
2016-03-29,24.4339,48.2832,29.693,104.13,115.4284,36.9854,0.8665,2.86
2016-03-30,24.8605,48.5833,29.9345,102.19,113.9972,37.2714,0.8756,2.86
2016-03-31,24.7312,48.7421,29.682,102.23,113.4009,36.9943,0.8724,2.85
2016-04-01,24.9581,49.0422,29.925,105.7,115.3489,37.2407,0.8851,2.83
2016-04-04,25.2145,48.9186,29.6595,104.35,111.8604,37.0112,0.8765,2.83
2016-04-05,24.9172,48.1508,29.307,104.94,111.5324,36.6393,0.8753,2.76
2016-04-06,25.1782,48.645,30.104,104.83,113.0133,37.0311,0.8765,2.8
2016-04-07,24.629,48.0626,29.5715,104.45,112.9437,36.7624,0.8675,2.64
2016-04-08,24.6563,48.0273,29.73,103.81,109.9522,36.7063,0.8731,2.74
2016-04-11,24.738,47.9302,29.7965,102.68,108.3222,36.5548,0.8785,2.76
2016-04-12,25.0602,48.2302,30.1585,106.98,109.9323,36.902,0.8775,2.81
2016-04-13,25.4232,48.848,30.741,109.65,109.8329,37.3305,0.8996,2.8
2016-04-14,25.4369,48.8568,31.0375,110.42,110.1609,37.404,0.902,2.72
2016-04-15,24.9263,49.1128,31.2945,111.51,108.9682,37.6921,0.9091,2.7
2016-04-18,24.3885,49.8276,31.7675,108.4,109.7733,38.07,0.9052,2.76
2016-04-19,24.2592,49.7658,31.395,94.34,111.602,37.4403,0.889,2.62
2016-04-20,24.3091,49.0598,31.6495,96.77,111.7312,37.3777,0.8925,2.7
2016-04-21,24.0459,49.2275,31.55,94.98,112.745,37.699,0.8915,2.62
2016-04-22,23.9801,45.6974,31.025,95.9,109.8826,35.6942,0.8881,3.99
2016-04-25,23.8439,45.9886,31.31,93.56,109.4254,35.9117,0.8925,3.45
2016-04-26,23.6783,45.3973,30.844,92.43,108.0936,35.1663,0.8932,3.66
2016-04-27,22.1965,44.9561,30.3285,91.04,108.2228,35.0521,0.9135,3.73
2016-04-28,21.5181,44.0382,30.1,90.28,116.0148,34.3162,0.8863,3.61
2016-04-29,21.2707,44.0118,32.9795,90.03,116.8596,34.415,0.8699,3.55
2016-05-02,21.2481,44.6648,34.1925,93.11,117.8435,34.6732,0.8814,3.74
2016-05-03,21.5975,43.9323,33.566,91.54,116.7105,34.3827,0.8709,3.6
2016-05-04,21.3729,44.0118,33.545,90.79,117.3367,34.5486,0.8511,3.6
2016-05-05,21.2861,44.0735,32.9545,89.37,117.0882,34.8331,0.8562,3.66
2016-05-06,21.1674,44.4707,33.6975,90.84,118.7579,35.3143,0.865,3.68
2016-05-09,21.1834,44.1883,33.9875,90.54,118.5094,35.4027,0.8638,3.65
2016-05-10,21.3272,45.0267,35.1535,92.89,119.7617,35.9132,0.8805,3.64
2016-05-11,21.1194,45.0531,35.6615,90.02,118.7877,35.5214,0.8829,3.65
2016-05-12,20.6241,45.4591,35.8965,87.74,119.5431,35.4231,0.8709,3.59
2016-05-13,20.6651,45.0796,35.496,87.88,119.0759,35.2999,1.0034,3.67
2016-05-16,21.4322,45.7415,35.533,89.12,117.9429,35.581,1.033,3.79
2016-05-17,21.3432,44.8884,34.7635,88.63,116.631,35.0715,1.0352,3.79
2016-05-18,21.5875,45.155,34.8725,90.5,116.9292,35.0914,1.0616,3.84
2016-05-19,21.5053,44.7195,34.926,89.55,116.0943,34.778,1.0663,3.77
2016-05-20,21.7381,44.9861,35.14,92.49,116.631,35.2458,1.0854,3.87
2016-05-23,22.0144,44.4618,34.8375,94.89,115.2595,34.9727,1.0871,4.04
2016-05-24,22.35,45.8482,35.21,97.89,116.9789,35.7598,1.1135,4.2
2016-05-25,22.7426,46.3192,35.4175,100.2,117.1677,36.017,1.1088,4.18
2016-05-26,22.923,46.1148,35.7455,102.81,118.738,35.9599,1.1206,4.35
2016-05-27,22.9093,46.4969,35.612,103.3,118.6486,36.384,1.1268,4.6
2016-05-31,22.7974,47.1012,36.1395,102.57,118.0821,36.536,1.1469,4.57
2016-06-01,22.4778,46.9679,35.972,101.51,118.0522,36.458,1.1491,4.43
2016-06-02,22.3089,46.6391,36.412,101.25,118.2013,36.2718,1.1572,4.24
2016-06-03,22.3545,46.0259,36.277,99.59,117.7441,35.8715,1.141,4.16
2016-06-06,22.5166,46.3281,36.3365,100.74,118.0622,35.584,1.1351,4.47
2016-06-07,22.6079,46.3014,36.187,99.89,117.0385,35.589,1.1373,4.51
2016-06-08,22.5874,46.2481,36.332,97.86,117.6646,36.1665,1.1336,4.46
2016-06-09,22.7495,45.8748,36.3825,97.09,117.8336,36.1814,1.1631,4.52
2016-06-10,22.5623,45.7504,35.8955,93.75,115.9055,35.726,1.1341,4.32
2016-06-13,22.2221,44.5595,35.762,93.85,113.2518,35.6739,1.1486,4.4
2016-06-14,22.2495,44.284,35.965,94.12,114.2358,35.6694,1.1508,4.39
2016-06-15,22.1764,44.1596,35.713,94.29,113.8979,35.7017,1.1626,4.42
2016-06-16,22.27,44.7817,35.8755,95.44,113.6891,35.2766,1.1673,4.75
2016-06-17,21.7632,44.5507,35.3195,94.45,112.3275,34.3509,1.1469,5.26
2016-06-20,21.7107,44.4973,35.7005,93.8,112.6754,34.4498,1.1675,5.1
2016-06-21,21.8956,45.4927,35.791,90.99,113.6792,34.5605,1.1604,5.45
2016-06-22,21.8135,45.3149,35.53,90.01,113.2121,34.636,1.1594,5.02
2016-06-23,21.939,46.1325,36.104,91.66,114.3749,34.855,1.1903,5.21
2016-06-24,21.3226,44.284,34.948,88.44,111.3933,33.5315,1.1226,4.88
2016-06-27,21.0122,43.0399,34.568,85.33,108.3024,33.1859,1.1106,4.72
2016-06-28,21.366,43.9374,35.3975,87.97,112.0095,33.7709,1.1268,5.12
2016-06-29,21.5509,44.915,35.78,91.06,113.4606,33.973,1.1452,5.13
2016-06-30,21.8249,45.4749,35.781,91.48,113.5798,34.3698,1.154,5.14
2016-07-01,21.8911,45.466,36.284,96.67,113.4904,34.7229,1.1454,5.07
2016-07-05,21.6856,45.4749,36.405,97.91,113.3015,34.5113,1.1624,4.96
2016-07-06,21.8089,45.6615,36.8805,94.6,115.985,34.6514,1.1697,5.04
2016-07-07,21.9025,45.6615,36.8285,95.1,115.1402,34.5317,1.2002,5.02
2016-07-08,22.0714,46.4791,37.2905,97.06,116.5217,35.0417,1.2483,5.1
2016-07-11,22.1399,46.7369,37.689,94.67,117.1478,35.5115,1.277,5.01
2016-07-12,22.2404,47.2879,37.4105,95.97,117.2075,35.7871,1.2961,5.14
2016-07-13,22.1148,47.5545,37.1315,96.43,116.0645,35.6053,1.2956,5.09
2016-07-14,22.5531,47.7589,37.06,98.02,116.5714,35.8025,1.3089,5.17
2016-07-15,22.5509,47.7233,36.772,98.39,116.144,35.7479,1.2937,5.14
2016-07-18,22.7906,47.9544,36.8035,98.81,118.6386,36.4396,1.3003,5.51
2016-07-19,22.7997,47.1812,36.9975,85.84,119.871,36.5976,1.3138,5.41
2016-07-20,22.8202,49.6873,37.286,87.91,121.173,36.8076,1.331,5.41
2016-07-21,22.6992,49.5896,37.2215,85.99,119.871,36.6805,1.3065,5.22
2016-07-22,22.5235,50.2739,37.243,85.89,120.2586,36.8846,1.342,5.84
2016-07-25,22.2221,50.4161,36.9805,87.66,120.8848,36.7371,1.3668,6.7
2016-07-26,22.0692,50.4427,36.7795,91.41,120.4773,36.6701,1.3902,6.98
2016-07-27,23.5028,49.9362,36.8335,92.04,122.5843,36.8364,1.3762,6.85
2016-07-28,23.8202,49.954,37.6305,91.65,124.2341,37.042,1.3791,6.82
2016-07-29,23.7905,50.3717,37.9405,91.25,123.1806,38.1782,1.4017,6.86
2016-08-01,24.2105,50.2828,38.387,94.37,123.5484,38.3813,1.3926,6.64
2016-08-02,23.8521,50.2828,38.029,93.56,122.3358,38.2915,1.3757,6.26
2016-08-03,24.1512,50.6294,37.732,93.1,121.7594,38.3962,1.3794,6.3
2016-08-04,24.3004,51.0026,38.0385,93.44,123.5981,38.3183,1.4049,6.47
2016-08-05,24.6699,51.5092,38.299,97.03,124.3832,38.8452,1.4287,6.61
2016-08-08,24.8742,51.5981,38.328,95.11,124.4925,38.8223,1.442,6.68
2016-08-09,24.9752,51.7225,38.4155,93.99,124.2938,38.9465,1.4456,6.6
2016-08-10,24.7893,51.5625,38.428,93.93,124.1149,38.9673,1.4363,6.49
2016-08-11,24.7732,51.8113,38.562,95.89,124.1348,38.9758,1.4655,6.58
2016-08-12,24.8306,51.4914,38.628,96.59,124.1149,38.8948,1.5475,6.73
2016-08-15,25.129,51.6514,38.4245,95.31,123.1409,38.8561,1.546,6.95
2016-08-16,25.106,51.3652,38.202,95.12,122.5446,38.5929,1.5367,6.78
2016-08-17,25.0693,51.4725,38.2315,96.37,123.608,38.7305,1.5011,6.68
2016-08-18,25.0372,51.5083,38.223,96.16,123.1508,38.6108,1.5244,7.04
2016-08-19,25.1014,51.5262,37.8655,95.87,122.803,38.5075,1.5284,7.62
2016-08-22,24.9063,51.5709,37.974,95.26,123.3893,38.3451,1.5347,7.58
2016-08-23,24.9844,51.7676,38.1225,95.94,123.608,38.3416,1.5472,7.67
